video_id,config_num,config
6,5,"[{'ad_id': 3, 'time': 164, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 2, 'time': 586, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 4, 'time': 886, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
6,6,"[{'ad_id': 4, 'time': 169, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 5, 'time': 574, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 0, 'time': 870, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}]"
6,7,"[{'ad_id': 5, 'time': 81, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 2, 'time': 327, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 1, 'time': 866, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}]"
6,8,"[{'ad_id': 3, 'time': 151, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 5, 'time': 386, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 4, 'time': 751, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
6,9,"[{'ad_id': 6, 'time': 81, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 0, 'time': 212, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}, {'ad_id': 1, 'time': 890, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}]"
6,10,"[{'ad_id': 6, 'time': 151, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 4, 'time': 590, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 1, 'time': 814, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}]"
7,1,"[{'ad_id': 2, 'time': 106, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 4, 'time': 263, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 1, 'time': 374, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}]"
7,2,"[{'ad_id': 3, 'time': 113, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 2, 'time': 242, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 5, 'time': 369, 'url': 'https://mall.jd.com/index-1000008814.html'}]"
7,3,"[{'ad_id': 1, 'time': 106, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 2, 'time': 329, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 5, 'time': 505, 'url': 'https://mall.jd.com/index-1000008814.html'}]"
7,4,"[{'ad_id': 1, 'time': 171, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 6, 'time': 343, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 4, 'time': 505, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
